iter	Passed	Remaining
0	1	145
1	2	134
2	3	126
3	4	116
4	6	117
5	7	115
6	8	113
7	9	112
8	10	110
9	12	108
10	13	106
11	14	104
12	15	103
13	16	102
14	17	101
15	18	99
16	19	97
17	21	95
18	22	94
19	23	92
20	24	90
21	25	89
22	26	88
23	27	86
24	28	85
25	29	83
26	30	82
27	31	81
28	32	79
29	33	78
30	34	77
31	35	75
32	36	74
33	37	73
34	38	71
35	39	70
36	40	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	69	36
66	71	35
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
